PM2.5 AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,AQI Category Numerical,AQI Category
126,4,3,36,5,Unhealthy for Sensitive Groups
63,2,9,22,1,Moderate
53,2,27,10,1,Moderate
86,2,38,10,1,Moderate
47,2,47,0,0,Good
78,2,25,7,1,Moderate
61,2,61,0,1,Moderate
112,2,44,4,5,Unhealthy for Sensitive Groups
27,0,6,1,0,Good
155,3,155,2,2,Unhealthy
121,4,24,0,5,Unhealthy for Sensitive Groups
160,3,138,5,2,Unhealthy
144,4,109,9,5,Unhealthy for Sensitive Groups
69,2,48,0,1,Moderate
47,1,34,3,0,Good
69,1,34,4,1,Moderate
84,3,9,24,1,Moderate
64,1,32,6,1,Moderate
20,1,20,1,0,Good
38,1,30,3,0,Good
59,1,27,3,1,Moderate
67,1,30,5,1,Moderate
75,2,13,16,1,Moderate
60,2,18,21,1,Moderate
22,1,13,0,0,Good
36,1,36,0,0,Good
41,1,30,8,0,Good
44,1,28,2,0,Good
29,1,26,1,0,Good
168,3,168,5,2,Unhealthy
25,1,25,3,0,Good
41,1,26,4,0,Good
36,0,33,1,0,Good
59,2,12,0,1,Moderate
98,0,17,0,1,Moderate
35,0,33,2,0,Good
29,0,29,0,0,Good
51,1,29,3,1,Moderate
103,4,9,6,5,Unhealthy for Sensitive Groups
35,1,35,0,0,Good
35,1,30,4,0,Good
27,0,27,2,0,Good
48,1,39,1,0,Good
307,1,45,0,4,Hazardous
54,1,25,0,1,Moderate
61,2,26,16,1,Moderate
36,1,36,1,0,Good
42,1,42,2,0,Good
42,0,32,1,0,Good
151,4,45,4,2,Unhealthy
102,1,23,0,5,Unhealthy for Sensitive Groups
115,3,24,2,5,Unhealthy for Sensitive Groups
64,1,53,1,1,Moderate
40,1,30,2,0,Good
45,1,45,0,0,Good
65,1,34,0,1,Moderate
17,1,13,0,0,Good
52,1,39,1,1,Moderate
69,1,69,1,1,Moderate
44,1,33,1,0,Good
50,1,41,1,0,Good
72,1,42,1,1,Moderate
49,1,49,1,0,Good
127,2,65,1,5,Unhealthy for Sensitive Groups
125,2,125,1,5,Unhealthy for Sensitive Groups
41,1,25,1,0,Good
52,1,34,3,1,Moderate
47,1,47,1,0,Good
36,1,36,3,0,Good
155,1,39,0,2,Unhealthy
37,1,19,0,0,Good
46,1,27,1,0,Good
69,1,42,0,1,Moderate
64,1,18,12,1,Moderate
92,2,52,8,1,Moderate
58,1,43,3,1,Moderate
41,1,41,0,0,Good
35,1,20,0,0,Good
88,2,53,1,1,Moderate
45,0,45,0,0,Good
102,1,38,0,5,Unhealthy for Sensitive Groups
58,1,24,7,1,Moderate
143,2,35,5,5,Unhealthy for Sensitive Groups
187,2,36,8,2,Unhealthy
35,1,35,0,0,Good
48,1,35,1,0,Good
58,1,29,6,1,Moderate
65,1,27,8,1,Moderate
73,2,66,0,1,Moderate
160,4,36,13,2,Unhealthy
98,3,33,9,1,Moderate
156,4,45,10,2,Unhealthy
75,2,9,6,1,Moderate
163,4,8,18,2,Unhealthy
35,1,35,0,0,Good
30,0,30,2,0,Good
47,1,21,2,0,Good
69,1,37,4,1,Moderate
105,4,15,4,5,Unhealthy for Sensitive Groups
189,2,9,15,2,Unhealthy
64,2,37,8,1,Moderate
54,1,32,5,1,Moderate
198,4,198,3,2,Unhealthy
139,7,13,5,5,Unhealthy for Sensitive Groups
55,1,26,3,1,Moderate
145,1,46,0,5,Unhealthy for Sensitive Groups
80,1,18,10,1,Moderate
50,1,36,1,0,Good
35,1,25,3,0,Good
55,1,27,0,1,Moderate
13,1,12,1,0,Good
48,1,23,3,0,Good
28,0,28,0,0,Good
50,1,29,3,0,Good
26,0,26,0,0,Good
107,2,107,5,5,Unhealthy for Sensitive Groups
22,0,22,0,0,Good
76,3,7,25,1,Moderate
47,1,32,0,0,Good
104,2,14,1,5,Unhealthy for Sensitive Groups
60,1,16,5,1,Moderate
32,1,3,2,0,Good
28,1,28,1,0,Good
34,0,28,2,0,Good
28,1,28,1,0,Good
48,1,35,0,0,Good
39,1,29,1,0,Good
97,1,14,0,1,Moderate
75,1,37,0,1,Moderate
194,1,44,0,2,Unhealthy
104,3,5,10,5,Unhealthy for Sensitive Groups
57,1,40,3,1,Moderate
41,1,41,3,0,Good
37,1,16,7,0,Good
59,1,34,0,1,Moderate
29,1,29,2,0,Good
34,0,34,1,0,Good
70,1,41,0,1,Moderate
32,0,30,1,0,Good
500,1,38,1,4,Hazardous
380,31,1,26,4,Hazardous
222,12,5,14,3,Very Unhealthy
52,0,28,0,1,Moderate
76,1,39,0,1,Moderate
27,0,23,0,0,Good
59,1,26,2,1,Moderate
38,0,28,2,0,Good
56,1,23,6,1,Moderate
127,1,18,0,5,Unhealthy for Sensitive Groups
117,1,117,1,5,Unhealthy for Sensitive Groups
92,2,57,1,1,Moderate
182,5,170,5,2,Unhealthy
124,2,32,7,5,Unhealthy for Sensitive Groups
68,2,68,6,1,Moderate
68,1,26,0,1,Moderate
39,1,4,2,0,Good
50,1,33,0,0,Good
103,1,33,6,5,Unhealthy for Sensitive Groups
38,1,36,5,0,Good
61,1,38,1,1,Moderate
17,0,17,1,0,Good
21,0,4,0,0,Good
32,1,32,1,0,Good
151,3,119,1,2,Unhealthy
57,1,32,0,1,Moderate
38,1,38,0,0,Good
49,1,40,0,0,Good
171,1,42,0,2,Unhealthy
91,1,28,1,1,Moderate
72,2,4,5,1,Moderate
153,2,22,6,2,Unhealthy
59,1,25,2,1,Moderate
157,0,31,1,2,Unhealthy
73,1,32,2,1,Moderate
71,2,3,6,1,Moderate
17,0,17,0,0,Good
46,1,2,0,0,Good
35,1,12,9,0,Good
24,0,24,1,0,Good
45,1,14,2,0,Good
61,1,40,0,1,Moderate
65,1,12,6,1,Moderate
112,1,34,4,5,Unhealthy for Sensitive Groups
19,0,19,0,0,Good
31,0,31,2,0,Good
152,4,4,19,2,Unhealthy
31,1,21,1,0,Good
37,1,12,1,0,Good
13,1,12,0,0,Good
41,1,8,3,0,Good
103,2,28,9,5,Unhealthy for Sensitive Groups
52,1,35,0,1,Moderate
30,0,30,2,0,Good
73,0,25,0,1,Moderate
42,1,2,4,0,Good
35,0,35,0,0,Good
46,1,25,5,0,Good
93,1,27,4,1,Moderate
63,2,13,0,1,Moderate
160,0,39,0,2,Unhealthy
39,1,26,1,0,Good
56,1,18,6,1,Moderate
105,2,13,2,5,Unhealthy for Sensitive Groups
93,2,90,1,1,Moderate
45,0,22,0,0,Good
54,1,8,1,1,Moderate
36,0,29,2,0,Good
50,1,35,5,0,Good
153,1,34,0,2,Unhealthy
48,1,36,5,0,Good
24,0,24,0,0,Good
132,3,44,4,5,Unhealthy for Sensitive Groups
179,3,179,2,2,Unhealthy
124,1,36,1,5,Unhealthy for Sensitive Groups
202,0,34,0,3,Very Unhealthy
151,1,26,1,2,Unhealthy
92,2,45,0,1,Moderate
39,1,5,0,0,Good
48,1,39,1,0,Good
52,2,17,0,1,Moderate
104,1,16,2,5,Unhealthy for Sensitive Groups
51,1,27,1,1,Moderate
91,1,49,0,1,Moderate
167,1,32,0,2,Unhealthy
38,0,20,0,0,Good
57,0,25,0,1,Moderate
41,1,27,5,0,Good
78,1,11,12,1,Moderate
47,1,46,2,0,Good
29,0,29,3,0,Good
60,1,34,1,1,Moderate
37,1,32,3,0,Good
61,2,2,9,1,Moderate
67,2,20,5,1,Moderate
46,1,17,2,0,Good
79,2,13,27,1,Moderate
53,1,24,9,1,Moderate
81,1,18,0,1,Moderate
39,1,38,2,0,Good
34,1,34,2,0,Good
42,1,41,0,0,Good
41,2,36,5,0,Good
47,1,36,0,0,Good
32,1,27,4,0,Good
25,0,6,1,0,Good
35,1,35,0,0,Good
36,1,26,3,0,Good
73,2,26,7,1,Moderate
52,1,22,11,1,Moderate
35,1,32,1,0,Good
94,3,9,11,1,Moderate
71,3,18,0,1,Moderate
61,2,3,5,1,Moderate
80,2,22,1,1,Moderate
101,1,60,0,5,Unhealthy for Sensitive Groups
48,1,45,0,0,Good
156,1,33,0,2,Unhealthy
30,0,28,0,0,Good
27,0,27,0,0,Good
57,0,30,0,1,Moderate
55,1,20,0,1,Moderate
54,1,35,0,1,Moderate
69,1,45,4,1,Moderate
76,3,32,2,1,Moderate
74,3,29,2,1,Moderate
36,1,2,0,0,Good
51,1,7,4,1,Moderate
41,1,18,1,0,Good
56,1,44,4,1,Moderate
58,1,43,5,1,Moderate
45,1,32,7,0,Good
50,1,41,0,0,Good
68,0,24,0,1,Moderate
46,1,46,2,0,Good
67,1,44,2,1,Moderate
77,3,7,8,1,Moderate
63,1,33,1,1,Moderate
42,0,19,0,0,Good
59,1,27,0,1,Moderate
35,0,17,0,0,Good
444,2,111,1,4,Hazardous
60,2,60,3,1,Moderate
48,1,48,0,0,Good
32,1,32,0,0,Good
56,0,32,1,1,Moderate
32,1,32,1,0,Good
29,0,29,2,0,Good
28,0,19,0,0,Good
34,1,25,2,0,Good
18,0,8,0,0,Good
68,1,32,1,1,Moderate
89,1,22,1,1,Moderate
208,3,152,1,3,Very Unhealthy
58,2,29,12,1,Moderate
53,1,40,6,1,Moderate
35,1,35,3,0,Good
37,1,25,2,0,Good
35,1,32,3,0,Good
39,1,25,2,0,Good
122,1,49,0,5,Unhealthy for Sensitive Groups
40,1,40,2,0,Good
58,0,32,1,1,Moderate
303,1,48,0,4,Hazardous
30,0,16,1,0,Good
193,0,38,0,2,Unhealthy
36,1,36,0,0,Good
49,1,30,0,0,Good
32,1,14,1,0,Good
28,1,22,4,0,Good
21,1,21,1,0,Good
63,2,40,0,1,Moderate
30,1,1,0,0,Good
32,1,30,1,0,Good
48,1,5,4,0,Good
80,1,62,4,1,Moderate
182,14,1,23,2,Unhealthy
356,1,60,0,4,Hazardous
62,1,44,5,1,Moderate
191,2,133,2,2,Unhealthy
150,1,41,0,2,Unhealthy
53,0,27,0,1,Moderate
226,1,48,1,3,Very Unhealthy
16,0,12,0,0,Good
34,1,34,1,0,Good
30,1,27,2,0,Good
55,2,26,12,1,Moderate
73,1,20,1,1,Moderate
46,1,46,0,0,Good
48,1,16,0,0,Good
103,1,25,1,5,Unhealthy for Sensitive Groups
46,0,30,2,0,Good
43,1,43,2,0,Good
52,1,44,4,1,Moderate
500,1,40,0,4,Hazardous
36,0,16,0,0,Good
39,0,39,0,0,Good
58,1,25,9,1,Moderate
24,0,7,1,0,Good
52,1,4,3,1,Moderate
56,1,21,6,1,Moderate
76,2,15,17,1,Moderate
95,3,23,8,1,Moderate
25,1,3,0,0,Good
40,1,30,1,0,Good
78,1,46,1,1,Moderate
47,1,47,2,0,Good
42,1,31,1,0,Good
39,1,14,2,0,Good
37,1,30,1,0,Good
50,1,23,0,0,Good
190,2,98,1,2,Unhealthy
62,1,18,13,1,Moderate
152,0,29,0,2,Unhealthy
56,1,31,0,1,Moderate
145,2,145,3,5,Unhealthy for Sensitive Groups
292,3,136,3,3,Very Unhealthy
20,0,14,0,0,Good
153,0,29,0,2,Unhealthy
25,0,9,1,0,Good
38,1,19,2,0,Good
158,0,25,0,2,Unhealthy
34,1,34,0,0,Good
46,1,29,0,0,Good
173,3,159,1,2,Unhealthy
44,1,33,0,0,Good
39,1,39,0,0,Good
101,3,18,2,5,Unhealthy for Sensitive Groups
37,1,37,0,0,Good
60,1,22,3,1,Moderate
23,0,17,0,0,Good
93,1,24,5,1,Moderate
28,1,28,8,0,Good
91,2,22,3,1,Moderate
39,1,22,1,0,Good
66,1,10,5,1,Moderate
6,0,5,0,0,Good
44,1,27,10,0,Good
153,3,153,1,2,Unhealthy
42,1,42,0,0,Good
62,1,32,4,1,Moderate
35,1,22,6,0,Good
27,1,25,3,0,Good
19,0,18,0,0,Good
198,3,91,3,2,Unhealthy
175,1,51,1,2,Unhealthy
33,1,33,1,0,Good
194,1,46,0,2,Unhealthy
500,1,47,1,4,Hazardous
37,1,3,3,0,Good
30,0,30,2,0,Good
61,1,10,16,1,Moderate
32,1,24,3,0,Good
84,1,45,0,1,Moderate
33,1,33,1,0,Good
44,1,44,0,0,Good
68,1,39,1,1,Moderate
57,2,21,11,1,Moderate
29,1,29,2,0,Good
30,1,30,3,0,Good
35,1,22,1,0,Good
37,1,21,4,0,Good
76,3,8,1,1,Moderate
90,3,46,3,1,Moderate
34,1,26,9,0,Good
65,1,30,1,1,Moderate
29,0,28,2,0,Good
37,1,27,8,0,Good
72,1,29,3,1,Moderate
169,7,0,21,2,Unhealthy
36,1,25,3,0,Good
46,1,37,2,0,Good
71,1,71,3,1,Moderate
29,0,29,2,0,Good
77,1,43,6,1,Moderate
48,0,24,0,0,Good
57,1,19,10,1,Moderate
53,1,38,2,1,Moderate
30,0,25,3,0,Good
31,0,30,1,0,Good
27,0,19,0,0,Good
30,0,28,2,0,Good
120,1,30,0,5,Unhealthy for Sensitive Groups
25,0,24,2,0,Good
57,2,22,14,1,Moderate
66,1,28,1,1,Moderate
70,1,21,0,1,Moderate
105,1,49,0,5,Unhealthy for Sensitive Groups
12,1,12,0,0,Good
25,0,25,0,0,Good
129,0,30,0,5,Unhealthy for Sensitive Groups
32,1,27,3,0,Good
42,1,28,0,0,Good
34,1,13,1,0,Good
60,2,8,4,1,Moderate
33,0,33,1,0,Good
37,1,12,13,0,Good
50,1,20,0,0,Good
46,1,26,2,0,Good
31,0,28,1,0,Good
95,9,95,0,1,Moderate
192,4,192,6,2,Unhealthy
49,1,24,2,0,Good
31,0,31,2,0,Good
34,0,29,3,0,Good
32,0,27,3,0,Good
100,1,16,0,5,Unhealthy for Sensitive Groups
176,2,21,3,2,Unhealthy
35,1,20,3,0,Good
32,1,32,1,0,Good
98,2,47,0,1,Moderate
32,1,29,0,0,Good
164,1,35,0,2,Unhealthy
61,1,29,1,1,Moderate
16,1,12,0,0,Good
167,1,49,1,2,Unhealthy
117,4,14,7,5,Unhealthy for Sensitive Groups
56,1,25,2,1,Moderate
50,0,23,0,0,Good
119,1,35,0,5,Unhealthy for Sensitive Groups
180,1,45,0,2,Unhealthy
171,1,36,0,2,Unhealthy
434,1,53,1,4,Hazardous
53,1,18,14,1,Moderate
50,1,24,11,0,Good
40,1,26,3,0,Good
55,1,19,0,1,Moderate
34,1,18,1,0,Good
172,3,172,5,2,Unhealthy
69,1,22,6,1,Moderate
38,0,38,0,0,Good
184,1,39,1,2,Unhealthy
74,2,23,1,1,Moderate
118,1,17,4,5,Unhealthy for Sensitive Groups
52,1,52,1,1,Moderate
500,1,73,1,4,Hazardous
30,0,30,1,0,Good
207,4,207,3,3,Very Unhealthy
35,0,28,2,0,Good
34,0,28,2,0,Good
73,2,35,8,1,Moderate
38,1,38,0,0,Good
70,0,22,0,1,Moderate
40,1,40,1,0,Good
500,1,43,0,4,Hazardous
28,0,27,2,0,Good
52,1,27,12,1,Moderate
70,2,20,20,1,Moderate
33,0,33,0,0,Good
59,1,59,1,1,Moderate
30,0,30,1,0,Good
169,4,169,3,2,Unhealthy
45,1,45,0,0,Good
44,1,44,0,0,Good
61,1,27,11,1,Moderate
58,0,21,0,1,Moderate
44,1,44,0,0,Good
18,0,18,0,0,Good
65,0,22,0,1,Moderate
20,0,20,0,0,Good
31,0,31,0,0,Good
138,3,138,2,5,Unhealthy for Sensitive Groups
39,1,19,1,0,Good
44,0,17,0,0,Good
74,1,74,1,1,Moderate
51,0,23,0,1,Moderate
125,5,16,2,5,Unhealthy for Sensitive Groups
95,0,22,0,1,Moderate
500,1,40,0,4,Hazardous
40,1,30,8,0,Good
108,0,23,0,5,Unhealthy for Sensitive Groups
72,0,19,0,1,Moderate
75,1,37,1,1,Moderate
20,0,14,0,0,Good
64,1,41,0,1,Moderate
37,1,37,0,0,Good
40,0,21,1,0,Good
35,1,35,0,0,Good
33,1,17,8,0,Good
59,1,30,3,1,Moderate
48,1,48,0,0,Good
104,0,22,0,5,Unhealthy for Sensitive Groups
30,1,30,0,0,Good
50,1,23,4,0,Good
32,1,32,1,0,Good
42,1,32,0,0,Good
46,1,21,4,0,Good
230,5,130,9,3,Very Unhealthy
39,1,39,0,0,Good
72,1,28,2,1,Moderate
59,2,6,0,1,Moderate
69,0,26,0,1,Moderate
78,1,38,0,1,Moderate
29,1,28,0,0,Good
34,1,34,1,0,Good
36,1,26,2,0,Good
30,0,30,1,0,Good
52,1,36,1,1,Moderate
74,0,24,0,1,Moderate
48,1,33,1,0,Good
54,0,21,0,1,Moderate
33,1,33,0,0,Good
61,0,21,0,1,Moderate
37,1,8,3,0,Good
60,1,30,6,1,Moderate
55,2,5,4,1,Moderate
58,2,14,19,1,Moderate
17,1,17,0,0,Good
34,0,15,2,0,Good
41,0,28,2,0,Good
31,1,15,1,0,Good
24,1,8,0,0,Good
78,1,78,3,1,Moderate
43,1,43,0,0,Good
390,1,54,1,4,Hazardous
150,1,30,0,2,Unhealthy
159,6,16,5,2,Unhealthy
31,1,31,2,0,Good
116,2,116,0,5,Unhealthy for Sensitive Groups
84,2,10,1,1,Moderate
16,0,16,0,0,Good
28,0,14,1,0,Good
59,1,31,0,1,Moderate
51,1,34,1,1,Moderate
36,1,17,3,0,Good
139,1,31,0,5,Unhealthy for Sensitive Groups
500,1,49,1,4,Hazardous
174,1,59,1,2,Unhealthy
156,5,124,10,2,Unhealthy
162,10,79,25,2,Unhealthy
95,2,9,9,1,Moderate
130,1,31,0,5,Unhealthy for Sensitive Groups
93,2,51,2,1,Moderate
43,1,30,3,0,Good
34,1,23,3,0,Good
171,6,10,3,2,Unhealthy
95,2,79,0,1,Moderate
32,1,32,0,0,Good
500,2,95,2,4,Hazardous
59,1,32,0,1,Moderate
24,1,24,0,0,Good
78,1,36,1,1,Moderate
59,1,27,0,1,Moderate
135,2,135,1,5,Unhealthy for Sensitive Groups
500,3,53,8,4,Hazardous
30,1,30,2,0,Good
201,3,201,4,3,Very Unhealthy
84,1,40,1,1,Moderate
23,1,21,0,0,Good
168,3,168,2,2,Unhealthy
144,1,36,0,5,Unhealthy for Sensitive Groups
38,1,37,1,0,Good
75,1,75,1,1,Moderate
54,1,6,14,1,Moderate
65,1,27,2,1,Moderate
39,1,23,5,0,Good
37,1,31,5,0,Good
36,0,20,1,0,Good
53,1,31,6,1,Moderate
112,1,29,2,5,Unhealthy for Sensitive Groups
130,0,31,0,5,Unhealthy for Sensitive Groups
40,1,40,2,0,Good
59,1,37,6,1,Moderate
29,1,29,2,0,Good
62,2,17,0,1,Moderate
79,2,36,0,1,Moderate
65,2,23,1,1,Moderate
19,0,19,0,0,Good
57,1,57,1,1,Moderate
44,1,35,2,0,Good
78,1,31,0,1,Moderate
56,1,25,1,1,Moderate
171,2,20,3,2,Unhealthy
121,4,7,8,5,Unhealthy for Sensitive Groups
14,1,14,0,0,Good
95,1,23,10,1,Moderate
52,1,33,3,1,Moderate
67,1,36,2,1,Moderate
34,0,34,2,0,Good
72,1,42,1,1,Moderate
47,1,7,1,0,Good
22,0,19,0,0,Good
41,0,11,0,0,Good
178,4,178,2,2,Unhealthy
159,2,134,1,2,Unhealthy
89,2,33,5,1,Moderate
155,3,91,2,2,Unhealthy
36,1,36,0,0,Good
70,1,23,2,1,Moderate
32,1,32,2,0,Good
62,1,17,7,1,Moderate
61,1,39,1,1,Moderate
142,3,48,2,5,Unhealthy for Sensitive Groups
40,1,29,3,0,Good
30,1,19,4,0,Good
73,0,24,0,1,Moderate
104,1,34,6,5,Unhealthy for Sensitive Groups
51,1,23,4,1,Moderate
59,1,21,1,1,Moderate
106,2,28,8,5,Unhealthy for Sensitive Groups
140,0,29,0,5,Unhealthy for Sensitive Groups
334,3,113,3,4,Hazardous
92,2,34,1,1,Moderate
118,2,27,2,5,Unhealthy for Sensitive Groups
54,1,54,2,1,Moderate
164,3,164,1,2,Unhealthy
195,1,36,0,2,Unhealthy
62,2,34,1,1,Moderate
52,1,40,0,1,Moderate
33,0,33,0,0,Good
54,2,30,11,1,Moderate
20,1,18,9,0,Good
31,0,31,2,0,Good
50,1,22,7,0,Good
53,1,36,1,1,Moderate
44,1,44,1,0,Good
37,1,35,0,0,Good
54,1,30,3,1,Moderate
197,1,42,0,2,Unhealthy
161,1,32,1,2,Unhealthy
157,1,36,0,2,Unhealthy
158,1,38,0,2,Unhealthy
81,0,23,0,1,Moderate
54,1,21,0,1,Moderate
58,2,17,15,1,Moderate
163,0,25,0,2,Unhealthy
151,1,33,0,2,Unhealthy
409,1,44,0,4,Hazardous
71,1,40,1,1,Moderate
40,1,7,6,0,Good
186,2,108,1,2,Unhealthy
101,1,62,0,5,Unhealthy for Sensitive Groups
191,7,9,18,2,Unhealthy
160,1,45,0,2,Unhealthy
38,1,38,0,0,Good
89,1,39,0,1,Moderate
56,1,13,0,1,Moderate
51,1,35,2,1,Moderate
74,1,8,13,1,Moderate
48,1,48,3,0,Good
12,0,12,0,0,Good
42,1,28,10,0,Good
185,1,55,0,2,Unhealthy
27,1,27,4,0,Good
15,0,15,0,0,Good
82,1,42,2,1,Moderate
33,1,33,2,0,Good
67,2,10,8,1,Moderate
40,1,14,0,0,Good
33,0,33,1,0,Good
90,4,20,0,1,Moderate
43,2,21,0,0,Good
44,1,24,4,0,Good
35,1,15,1,0,Good
500,1,42,0,4,Hazardous
170,0,33,0,2,Unhealthy
55,1,29,0,1,Moderate
47,1,36,0,0,Good
25,0,15,0,0,Good
150,0,27,0,2,Unhealthy
65,1,22,1,1,Moderate
168,1,42,0,2,Unhealthy
75,3,15,1,1,Moderate
37,1,37,0,0,Good
151,1,41,0,2,Unhealthy
50,0,21,0,0,Good
112,1,27,3,5,Unhealthy for Sensitive Groups
49,0,23,0,0,Good
34,1,17,3,0,Good
49,1,30,5,0,Good
109,3,5,9,5,Unhealthy for Sensitive Groups
53,1,26,7,1,Moderate
72,1,7,14,1,Moderate
48,1,15,0,0,Good
190,4,190,1,2,Unhealthy
54,0,27,0,1,Moderate
167,3,123,1,2,Unhealthy
43,1,25,4,0,Good
41,1,26,4,0,Good
40,1,40,2,0,Good
61,1,8,4,1,Moderate
35,1,35,3,0,Good
60,1,20,6,1,Moderate
62,1,26,1,1,Moderate
28,0,28,2,0,Good
42,1,28,4,0,Good
67,1,36,3,1,Moderate
30,1,30,3,0,Good
50,1,14,3,0,Good
52,1,36,1,1,Moderate
58,1,28,2,1,Moderate
58,1,14,10,1,Moderate
33,0,19,0,0,Good
175,2,145,1,2,Unhealthy
138,4,25,4,5,Unhealthy for Sensitive Groups
162,1,38,0,2,Unhealthy
36,1,36,0,0,Good
44,0,23,0,0,Good
105,2,59,1,5,Unhealthy for Sensitive Groups
213,1,43,0,3,Very Unhealthy
169,1,36,0,2,Unhealthy
265,2,91,1,3,Very Unhealthy
49,1,31,6,0,Good
68,1,24,0,1,Moderate
69,1,39,0,1,Moderate
54,1,29,1,1,Moderate
23,1,23,6,0,Good
63,1,24,3,1,Moderate
31,1,31,1,0,Good
34,0,33,0,0,Good
34,0,34,1,0,Good
46,1,2,0,0,Good
32,0,11,2,0,Good
58,1,48,1,1,Moderate
176,4,176,5,2,Unhealthy
36,0,16,0,0,Good
49,1,25,11,0,Good
59,2,16,4,1,Moderate
180,2,151,1,2,Unhealthy
27,0,27,0,0,Good
194,3,176,2,2,Unhealthy
74,2,17,1,1,Moderate
35,1,35,1,0,Good
29,1,29,2,0,Good
54,0,25,0,1,Moderate
58,2,18,21,1,Moderate
89,1,25,1,1,Moderate
42,0,35,1,0,Good
36,1,25,7,0,Good
91,0,25,0,1,Moderate
30,0,27,0,0,Good
206,7,206,9,3,Very Unhealthy
67,1,38,2,1,Moderate
51,1,22,5,1,Moderate
162,1,37,0,2,Unhealthy
187,2,106,1,2,Unhealthy
